"Unique identification number of the institution","Full-time non-instructional staff - number","Full-time non-instructional staff - outlays","Research - number","Research - outlays","Public service - number","Public service - Outlays","Librarians, Curators, Archivists, and Academic Affairs and Other Education Services  - number","Librarians, Curators, Archivists and Academic Affairs and Other Education Services - outlays","Management - number","Management - outlays","Business and Financial Operations - number","Business and Financial Operations - outlays","Computer, Engineering, and Science - number","Computer, Engineering, and Science - outlays","Community, Social  Service, Legal, Arts, Design, Entertainment, Sports and Media - number","Community, Social  Service, Legal, Arts, Design, Entertainment, Sports and Media - outlays","Healthcare Practioners and Technical -number","Healthcare Practioners and Technical - outlays","Service - number","Service - outlays","Sales and related - number","Sales and related - outlays","Office and Administrative Support - number","Office and Administrative Support - outlays","Natural Resources, Construction, and Maintenance - number","Natural Resources, Construction, and Maintenance - outlays","Production, Transportation, and Material Moving - number","Production, Transportation, and Material Moving - outlays","FY","Fall","Institution_Name","Survey Code","Survey Title"
"131496","2861","199009266","139","10069198","  0","       0"," 92"," 6131815"," 895"," 87734941","263","17729629"," 230","17592345","251","16668556"," 33"," 1700410"," 238"," 8872012"," 0","      0"," 532"," 24105787","122"," 6109346"," 66","2295227","2013","2012","Georgetown University","sal_nic","Non-instructional staff salary"
"147767","4396","288360766","530","19933419","  0","       0","207","11330955"," 211"," 41257864","930","65217838"," 771","55916960","319","25613337"," 68"," 4727573"," 128"," 6788596","18"," 717217"," 953"," 41156254","261","15700753","  0","      0","2013","2012","Northwestern University","sal_nic","Non-instructional staff salary"
"162928","5380","366995720","395","47729459"," 25"," 3908733","324","20026984"," 105"," 23556778","795","61170298","1112","77677681","600","43545158","214","11215083"," 424","18588467"," 0","      0","1294"," 55010281"," 92"," 4566798","  0","      0","2013","2012","Johns Hopkins University","sal_nic","Non-instructional staff salary"
"164924","2465","168674255","205","11918268","  0","       0"," 69"," 5070621"," 632"," 64862715","164","10698389"," 215","16312400","147","12420930"," 25"," 1369475"," 461","20485690","31"," 972456"," 420"," 18428026"," 79"," 5230118"," 17"," 905167","2013","2012","Boston College","sal_nic","Non-instructional staff salary"
"168148","2536","162504755"," 29"," 2311152","  0","       0"," 86"," 5869653"," 336"," 43779246","261","18082440"," 463","30777633","140"," 9306242","161"," 7565817"," 372","14283690"," 0","      0"," 591"," 24933465"," 86"," 5058085"," 11"," 537332","2013","2012","Tufts University","sal_nic","Non-instructional staff salary"
"179867","2748","163434427","230","11971492","  0","       0"," 86"," 4542612"," 390"," 44608247","465","29114362"," 351","19864559","177","11089124"," 34"," 2009354"," 167"," 5961626"," 8"," 386351"," 672"," 25283337","162"," 8250236","  6"," 353127","2013","2012","Washington University in St Louis","sal_nic","Non-instructional staff salary"
"182670","2272","140703394"," 32"," 2543591","  0","       0","326","17530994"," 262"," 37432913","115"," 7545224"," 357","22610885","265","15779971"," 18","  894964"," 379","14085794"," 5"," 189695"," 389"," 16173073","104"," 5136692"," 20"," 779598","2013","2012","Dartmouth College","sal_nic","Non-instructional staff salary"
"190150","6532","469672739","828","53938306","  0","       0","404","25039755"," 732","112282795","466","33575896"," 681","47962500","268","20733430"," 86"," 6494837"," 895","40391048"," 0","      0","1985","117791716","133"," 8598365"," 54","2864091","2013","2012","Columbia University in the City of New York","sal_nic","Non-instructional staff salary"
"190415","7696","463123819","797","44987126","187","15577733","372","21643069"," 740"," 91081093","740","48505137"," 958","64477730","278","18192407","450","21587187","1061","38057102","31","1424752","1504"," 68280408","518","27106241"," 60","2203834","2013","2012","Cornell University","sal_nic","Non-instructional staff salary"
"198419","6302","397451029","654","64828056","  0","       0","155"," 9811692"," 784"," 75487608","861","48508514"," 652","47544816","371","30281029","443","25671252"," 720","32028908","43","1569147","1271"," 47616705","141"," 7114728","207","6988574","2013","2012","Duke University","sal_nic","Non-instructional staff salary"
"215062","7599","471146314","472","23109967","118","13568219","248","14088939","1401","151847744","963","57465377","1036","64338144","237","16343420","555","24102353"," 965","37508132"," 6"," 247264","1273"," 50303362","287","16649481"," 38","1573912","2013","2012","University of Pennsylvania","sal_nic","Non-instructional staff salary"
"217156","2508","144740625","293","14223940","  0","       0","220","12730164"," 403"," 40651216","199","14804167"," 248","15933735","103"," 5747840"," 48"," 1480960"," 436","16972013","14"," 246995"," 446"," 16686333"," 90"," 4986250","  8"," 277012","2013","2012","Brown University","sal_nic","Non-instructional staff salary"
"131496","2868","202310259","130"," 7873946","  0","       0"," 92"," 6198431"," 902"," 88022668"," 287","23298133"," 226","17330018","249","16853777"," 36"," 1860008"," 232"," 8745778"," 0","      0"," 524","23856464","122"," 6023527"," 68","2247509","2014","2013","Georgetown University","sal_nic","Non-instructional staff salary"
"147767","4549","315349581","503","25169822","  0","       0","215","12333870"," 211"," 42925674","1022","73593664"," 799","59608260","350","29059439"," 75"," 5705046"," 128"," 7028399","19"," 785341"," 965","42776158","262","16363908","  0","      0","2014","2013","Northwestern University","sal_nic","Non-instructional staff salary"
"162928","5434","377022157","427","49633536"," 31"," 4886897","676","42992517"," 113"," 25031699"," 812","63708860","1077","75826251","330","26944926","199","11124962"," 407","17998688"," 0","      0","1269","54153766"," 93"," 4720055","  0","      0","2014","2013","Johns Hopkins University","sal_nic","Non-instructional staff salary"
"164924","2478","175036608","212","12778425","  0","       0"," 75"," 5631449"," 600"," 64531031"," 183","12556414"," 230","17575797","146","13902551"," 23"," 1317475"," 464","20679963","33","1040772"," 413","18450617"," 84"," 5755356"," 15"," 816758","2014","2013","Boston College","sal_nic","Non-instructional staff salary"
"168148","2565","169767276"," 66"," 6128405","  0","       0"," 83"," 5933452"," 328"," 43915838"," 295","21470231"," 475","31436931","141"," 9404240","158"," 7544998"," 369","14402784"," 0","      0"," 554","23849676"," 85"," 5130475"," 11"," 550246","2014","2013","Tufts University","sal_nic","Non-instructional staff salary"
"179867","2777","167493178","225","11829407","  0","       0"," 82"," 3422928"," 407"," 46867616"," 444","28425436"," 375","21490980","187","11976752"," 33"," 2213774"," 176"," 6408890"," 8"," 402668"," 677","25974828","157"," 8119449","  6"," 360450","2014","2013","Washington University in St Louis","sal_nic","Non-instructional staff salary"
"182670","2341","149766115"," 33"," 2712880","  0","       0","340","18644259"," 272"," 40183616"," 123"," 8236679"," 372","24278929","282","17331814","  4","  231713"," 382","14644518"," 5"," 193979"," 402","17099405","106"," 5404035"," 20"," 804288","2014","2013","Dartmouth College","sal_nic","Non-instructional staff salary"
"190150","6815","484733750","810","53162427","  0","       0","409","24292067","1733","175997561"," 516","38851100"," 684","49261357","183","14609803"," 99"," 6569105"," 912","41138050","10"," 418655","1242","66116194","155","10505072"," 62","3812359","2014","2013","Columbia University in the City of New York","sal_nic","Non-instructional staff salary"
"190415","7880","493278972","798","45918145","199","17118766","398","23365772"," 805","105186008"," 781","52340460"," 941","65701174","288","19135261","462","23079390","1142","41457506","31","1469033","1492","70211663","479","25765413"," 64","2530381","2014","2013","Cornell University","sal_nic","Non-instructional staff salary"
"198419","6547","371434906","660","30522707","  0","       0","158"," 9599027"," 853"," 85039075"," 896","51564391"," 683","42473602","393","30756291","501","28859148"," 718","23650706","43","1615398","1277","52483293","145"," 7534787","220","7336481","2014","2013","Duke University","sal_nic","Non-instructional staff salary"
"215062","7706","492541262","475","23805708","128","15023874","247","14421256","1448","161275375"," 972","59206114","1050","66984982","241","17074914","566","25653652","1011","39978574"," 6"," 246702","1240","50373379","287","17024104"," 35","1472628","2014","2013","University of Pennsylvania","sal_nic","Non-instructional staff salary"
"217156","2746","157770804","340","18843840","  0","       0","215","12509986"," 426"," 45197312"," 204","14329596"," 322","20386745","118"," 6470874"," 51"," 1561378"," 448","13689212","30"," 624910"," 489","18765510"," 94"," 5107081","  9"," 284360","2014","2013","Brown University","sal_nic","Non-instructional staff salary"
"131496","2882","209029148","132"," 8417179","  0","       0"," 90"," 6063861"," 907"," 88946088"," 311","21608321"," 235","18204073","250","17847241"," 34"," 1833341"," 226","10197197"," 0","      0"," 510","27642131","119"," 5972712"," 68","2297004","2015","2014","Georgetown University","sal_nic","Non-instructional staff salary"
"147767","4608","329313869","481","22723239","  0","       0","198","10597594"," 226"," 46371695","1083","80860883"," 811","61846551","367","32369047"," 73"," 5628035"," 130"," 7253987","18"," 781871"," 957","43908287","264","16972680","  0","      0","2015","2014","Northwestern University","sal_nic","Non-instructional staff salary"
"162928","5506","397591719","381","49256728"," 58"," 7905469","704","46153053"," 120"," 28683282"," 835","66338526","1123","81197034","331","27864662","210","11921594"," 416","19400040"," 0","      0","1232","53891938"," 96"," 4979393","  0","      0","2015","2014","Johns Hopkins University","sal_nic","Non-instructional staff salary"
"164924","2492","181008852","215","12680531","  0","       0"," 87"," 6384142"," 587"," 65702993"," 186","13128768"," 214","17539564","175","16454057"," 23"," 1498050"," 469","21226988","31"," 948510"," 408","18798587"," 82"," 5800989"," 15"," 845673","2015","2014","Boston College","sal_nic","Non-instructional staff salary"
"168148","2591","174648556"," 50"," 4344089","  0","       0"," 79"," 5796091"," 312"," 43370994"," 332","24802578"," 503","34020331","160","10862388","149"," 7225733"," 368","14825084"," 1","  44099"," 546","23860642"," 80"," 4930073"," 11"," 566454","2015","2014","Tufts University","sal_nic","Non-instructional staff salary"
"179867","2822","175503916","230","12087492","  0","       0"," 92"," 4977855"," 426"," 50047024"," 466","30143543"," 372","21969416","192","12402839"," 32"," 2194983"," 176"," 6475997","10"," 489086"," 665","26166102","155"," 8183555","  6"," 366024","2015","2014","Washington University in St Louis","sal_nic","Non-instructional staff salary"
"182670","2389","157155526"," 26"," 2354526","  0","       0","358","20031790"," 275"," 42209648"," 127"," 8690503"," 384","25895825","302","18925201","  5","  261849"," 375","14523292"," 4"," 148719"," 405","17684450","109"," 5660961"," 19"," 768762","2015","2014","Dartmouth College","sal_nic","Non-instructional staff salary"
"190150","6861","504693696","810","54750709","  0","       0","404","24696991","1801","189106898"," 498","38650930"," 620","46869250","174","14325107"," 74"," 6033572"," 943","42606425","12"," 513539","1315","73013744","149","10200569"," 61","3925962","2015","2014","Columbia University in the City of New York","sal_nic","Non-instructional staff salary"
"190415","7921","511671447","787","46853458","199","17488197","390","23676394"," 807","110706737"," 803","55353381"," 936","66758299","297","20124771","446","23153848","1176","43769988","32","1600491","1497","72713606","488","26918024"," 63","2554253","2015","2014","Cornell University","sal_nic","Non-instructional staff salary"
"198419","6617","386130594","638","29662062","  0","       0","166","10265496"," 900"," 92686090"," 936","55366875"," 683","44284166","418","33964844","506","30104169"," 738","25108383","42","1580406","1237","48501274","133"," 7098216","220","7508613","2015","2014","Duke University","sal_nic","Non-instructional staff salary"
"215062","7775","511014264","504","26206554","125","14630504","238","14328984","1469","167260739","1004","62491961","1032","68133526","252","18346995","573","27685778","1009","41114536"," 6"," 248337","1241","51697629","288","17403533"," 34","1465188","2015","2014","University of Pennsylvania","sal_nic","Non-instructional staff salary"
"217156","2564","168813974","352","21601373","  0","       0","203","12441665"," 413"," 44938781"," 218","16590392"," 302","20432926","103"," 7666727"," 23"," 1589866"," 408","18632326"," 4"," 210291"," 437","18944121"," 96"," 5581391","  5"," 184115","2015","2014","Brown University","sal_nic","Non-instructional staff salary"
